fraction,global_deletion,global_insertion,local_deletion,local_insertion,text_deletion,text_insertion
0.0,0.7165461182594299,0.1432414948940277,0.7165461182594299,0.7071664929389954,0.7165461182594299,0.09497231990098953
0.1,0.7071717977523804,0.3748527765274048,0.7148723602294922,0.7057479619979858,0.18939898908138275,0.11224187910556793
0.2,0.5425967574119568,0.5217928886413574,0.7134179472923279,0.7060471773147583,0.12473499774932861,0.12049641460180283
0.30000000000000004,0.5851882696151733,0.6420554518699646,0.7124323844909668,0.7064195871353149,0.0874774158000946,0.1359633505344391
0.4,0.5109872221946716,0.6756848096847534,0.7117566466331482,0.7068657279014587,0.0851026326417923,0.1814718097448349
0.5,0.5207291841506958,0.6841974854469299,0.7096441388130188,0.7092449069023132,0.08075957745313644,0.2331363409757614
0.6000000000000001,0.4765942692756653,0.6679779291152954,0.7087016105651855,0.7104123830795288,0.07938237488269806,0.2928233742713928
0.7000000000000001,0.4390724003314972,0.6818950176239014,0.7081775665283203,0.7112682461738586,0.07607514411211014,0.32820066809654236
0.8,0.36217251420021057,0.6995869874954224,0.7079375386238098,0.712390124797821,0.07797200232744217,0.3984092175960541
0.9,0.33704355359077454,0.7152467370033264,0.7072173953056335,0.7142177224159241,0.07945648580789566,0.6380555033683777
1.0,0.1432414948940277,0.7165461182594299,0.7071664929389954,0.7165461182594299,0.09497231990098953,0.7165461182594299
