token,signed_ig_normalized,absolute_ig_normalized
wound,1.0,1.0
finger,0.8131658,0.8131658
orthopedic,0.7294525,0.7294525
third,0.63497525,0.63497525
chanh,0.6214179,0.6214179
almost,0.51901436,0.51901436
severed,0.4523443,0.4523443
binh,0.43660283,0.43660283
trauma,0.4200757,0.4200757
shrimp,0.4086663,0.4086663
of,0.3174201,0.3174201
:,0.2833473,0.2833473
2024,0.24783537,0.24783537
binh,0.23544024,0.23544024
22,0.2142615,0.2142615
visit,0.2004462,0.2004462
.,0.19855618,0.19855618
the,0.19847079,0.19847079
for,0.19676113,0.19676113
machine,0.19641006,0.19641006
declared,0.18926027,0.18926027
in,-0.18188089,0.18188089
;,-0.18007271,0.18007271
making,0.17223442,0.17223442
personal,0.16483873,0.16483873
while,-0.1471741,0.1471741
abnormalities,0.13463938,0.13463938
admission,0.1267274,0.1267274
.,-0.12056668,0.12056668
the,0.11660196,0.11660196
the,-0.11336974,0.11336974
the,0.10379999,0.10379999
rolling,0.0984546,0.0984546
right,0.09829663,0.09829663
transfer,0.09757205,0.09757205
hand,0.095622495,0.095622495
on,0.089021854,0.089021854
by,0.08778858,0.08778858
chanh,0.082311764,0.082311764
disease,0.07800466,0.07800466
history,0.074824534,0.074824534
cut,0.07044151,0.07044151
hand,0.06990487,0.06990487
hospital,0.069182046,0.069182046
reason,0.0669781,0.0669781
medical,0.06575836,0.06575836
:,0.06394266,0.06394266
hospital,0.05943405,0.05943405
were,0.057422735,0.057422735
detected,0.055613443,0.055613443
hours,0.04840054,0.04840054
got,0.04378887,0.04378887
;,-0.042165004,0.042165004
2,0.028858567,0.028858567
november,0.02598232,0.02598232
to,0.021468313,0.021468313
on,0.019392524,0.019392524
no,0.017863829,0.017863829
",",-0.016529996,0.016529996
history,-0.008454589,0.008454589
:,0.005153354,0.005153354
the,-0.0007258699,0.0007258699
patient,-0.0006500697,0.0006500697
