group,comparison_config,comparison,metric,delta_mean,ci_low,ci_high,p_raw,n_seeds,method,delta_definition
BTXRD,fft_clip,CLIP,f1_macro,0.0223692339397826,-0.03099609476606,0.074049849515594,0.3676632336766323,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
BTXRD,fft_clip,CLIP,auroc_macro,0.0269922471197532,-0.0030665370619903,0.0548095393789085,0.0634936506349365,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
BTXRD,fft_clip,CLIP,auprc_macro,0.0050136895217652,-0.0463303291824756,0.0493047095654155,0.8329167083291671,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
BTXRD,fft_medclip,MedCLIP,accuracy,0.0048888888888889,-0.0195555555555554,0.0306666666666667,0.6298370162983702,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
BTXRD,fft_medclip,MedCLIP,balanced_accuracy,-0.0210844512262755,-0.0788330928793943,0.03296870137443,0.3831616838316168,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
BTXRD,fft_medclip,MedCLIP,f1_macro,-0.0047192765888931,-0.0594289297633384,0.045084890418665,0.8452154784521548,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
BTXRD,fft_medclip,MedCLIP,auroc_macro,0.0644462317484869,0.01125095479607,0.1186336018990955,0.018998100189981,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
BTXRD,fft_medclip,MedCLIP,auprc_macro,0.007351898758526,-0.0466445500492313,0.0610203683658047,0.7805219478052194,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
BTXRD,fft_resnet50,ResNet-50,accuracy,0.2191111111111112,0.1871111111111112,0.2524555555555555,9.999000099990002e-05,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
BTXRD,fft_resnet50,ResNet-50,balanced_accuracy,0.2735785330994033,0.2190722367090736,0.32905717484175,9.999000099990002e-05,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
BTXRD,fft_resnet50,ResNet-50,f1_macro,0.2725595184715324,0.2161283340893367,0.3270197435453704,9.999000099990002e-05,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
BTXRD,fft_resnet50,ResNet-50,auroc_macro,0.2007186486188745,0.1399619573656403,0.2580561651454451,9.999000099990002e-05,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
BTXRD,fft_resnet50,ResNet-50,auprc_macro,0.2962127239509171,0.2368601138500788,0.3525974816523114,9.999000099990002e-05,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
BTXRD,fft_densenet,DenseNet-121,accuracy,0.1937777777777778,0.1653333333333333,0.2235555555555555,9.999000099990002e-05,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
BTXRD,fft_densenet,DenseNet-121,balanced_accuracy,0.2222045452502791,0.1633673927243069,0.2809312633903368,9.999000099990002e-05,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
BTXRD,fft_densenet,DenseNet-121,f1_macro,0.2292468051754693,0.167467704348158,0.289916303963696,9.999000099990002e-05,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
BTXRD,fft_densenet,DenseNet-121,auroc_macro,0.1525771359917982,0.1081773661730821,0.1955051681973605,9.999000099990002e-05,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
BTXRD,fft_densenet,DenseNet-121,auprc_macro,0.2470022780341184,0.185900173910952,0.2981874125245293,9.999000099990002e-05,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
CTCH,lora_biomedclip,LoRA-BiomedCLIP,accuracy,-0.0234180368709517,-0.0722471350274041,0.027902341803687,0.1405859414058594,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
CTCH,lora_biomedclip,LoRA-BiomedCLIP,balanced_accuracy,-0.0247525085492889,-0.100746654114719,0.0458423535590065,0.2432756724327567,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
CTCH,lora_biomedclip,LoRA-BiomedCLIP,f1_macro,-0.0040954231382436,-0.0503986869961984,0.0384799336485204,0.8262173782621738,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
CTCH,lora_biomedclip,LoRA-BiomedCLIP,auroc_macro,0.0139244473926712,-0.029640018061397,0.0537025575496358,0.5150484951504849,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
CTCH,lora_biomedclip,LoRA-BiomedCLIP,auprc_macro,0.0143624241420544,-0.0344630052753843,0.0558850000438416,0.519048095190481,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
CTCH,lora_pubmedclip,LoRA-PubMedCLIP,accuracy,-0.0284005979073244,-0.0757349277528649,0.014947683109118,0.0860913908609139,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
CTCH,lora_pubmedclip,LoRA-PubMedCLIP,balanced_accuracy,0.0145165744390437,-0.0481408929732584,0.0752530763292931,0.5291470852914708,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
CTCH,lora_pubmedclip,LoRA-PubMedCLIP,f1_macro,0.0019117596165864,-0.0403418815298663,0.0419733588980914,0.9274072592740726,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
CTCH,lora_pubmedclip,LoRA-PubMedCLIP,auroc_macro,0.0106501882092826,-0.0129739002247875,0.0377559394396252,0.4228577142285771,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
CTCH,lora_pubmedclip,LoRA-PubMedCLIP,auprc_macro,0.010199265344236,-0.0333583395644939,0.047977263311446,0.6225377462253775,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
CTCH,fft_biomedclip,BiomedCLIP,accuracy,-0.0244145490782261,-0.0782386646736421,0.0318883906327851,0.1353864613538646,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
CTCH,fft_biomedclip,BiomedCLIP,balanced_accuracy,-0.0178303290959745,-0.0831653260494108,0.0513587018270058,0.3745625437456254,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
CTCH,fft_biomedclip,BiomedCLIP,f1_macro,0.0017572447717492,-0.0379116917724059,0.039554608664749,0.934006599340066,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
CTCH,fft_biomedclip,BiomedCLIP,auroc_macro,0.0082740277806259,-0.0345944134834904,0.0550577995409817,0.7110288971102889,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
CTCH,fft_biomedclip,BiomedCLIP,auprc_macro,0.0019772695296048,-0.0373993832304113,0.039821725261088,0.9155084491550844,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
CTCH,fft_pubmedclip,PubMedCLIP,accuracy,0.0204285002491279,-0.0284005979073244,0.0682735426008968,0.2052794720527947,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
CTCH,fft_pubmedclip,PubMedCLIP,balanced_accuracy,0.0255346639875823,-0.0213372670408678,0.0748437851552302,0.2255774422557744,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
CTCH,fft_pubmedclip,PubMedCLIP,f1_macro,0.0354345103987526,-0.0104490756475835,0.0840955251386714,0.0870912908709129,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
CTCH,fft_pubmedclip,PubMedCLIP,auroc_macro,0.019427807836452,0.0053842916680823,0.0325027907269538,0.0095990400959904,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
CTCH,fft_pubmedclip,PubMedCLIP,auprc_macro,0.030067968176704,-0.0077970336406615,0.0654507774696614,0.1040895910408959,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
CTCH,fft_clip,CLIP,accuracy,-0.0149476831091182,-0.0657698056801195,0.0338814150473343,0.3454654534546545,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
CTCH,fft_clip,CLIP,balanced_accuracy,-0.0372303107628917,-0.1029514583974268,0.0390130609329426,0.0857914208579142,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
CTCH,fft_clip,CLIP,f1_macro,-0.0075134623536449,-0.0488571778184593,0.031914117643181,0.7044295570442956,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
CTCH,fft_clip,CLIP,auroc_macro,0.0183108979527584,-0.0278928364584806,0.0729405355179495,0.5138486151384861,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
CTCH,fft_clip,CLIP,auprc_macro,0.0186262687025861,-0.036455150755093,0.0771026179762963,0.5176482351764824,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
CTCH,fft_medclip,MedCLIP,accuracy,0.0124564025909317,-0.0219232685600399,0.0468360737419033,0.4313568643135686,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
CTCH,fft_medclip,MedCLIP,balanced_accuracy,0.012103382055551,-0.0334737113168623,0.0557072178731529,0.5382461753824618,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
CTCH,fft_medclip,MedCLIP,f1_macro,0.0396570675842408,-0.0044395117731005,0.0787007578470092,0.0372962703729627,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
CTCH,fft_medclip,MedCLIP,auroc_macro,0.0258340165085024,0.010623649249087,0.0460407341482884,0.0095990400959904,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
CTCH,fft_medclip,MedCLIP,auprc_macro,0.0347652300344009,-0.0015795762716285,0.0705796248317097,0.0588941105889411,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
CTCH,fft_resnet50,ResNet-50,accuracy,0.074240159441953,0.0343796711509716,0.114611360239163,0.0004999500049995,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
CTCH,fft_resnet50,ResNet-50,balanced_accuracy,0.1664693049259053,0.1066195785892041,0.2247031025019815,9.999000099990002e-05,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
CTCH,fft_resnet50,ResNet-50,f1_macro,0.140392741538279,0.0969402222245619,0.1855245659913181,9.999000099990002e-05,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
CTCH,fft_resnet50,ResNet-50,auroc_macro,0.0337768823051378,0.0063228694757462,0.0569436184927114,0.0101989801019898,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
CTCH,fft_resnet50,ResNet-50,auprc_macro,0.1704257613627289,0.1187368135368068,0.2048402449498737,9.999000099990002e-05,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
CTCH,fft_densenet,DenseNet-121,accuracy,0.0906826108619829,0.0483308420528151,0.1330343796711509,9.999000099990002e-05,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
CTCH,fft_densenet,DenseNet-121,balanced_accuracy,0.0924446052003202,0.0432307005023133,0.1420382615447423,0.0002999700029997,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
CTCH,fft_densenet,DenseNet-121,f1_macro,0.1197236410956059,0.0661987388648565,0.1709604184748332,9.999000099990002e-05,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
CTCH,fft_densenet,DenseNet-121,auroc_macro,0.0123336157671776,-0.0134919097750405,0.0334495964222009,0.3268673132686731,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
CTCH,fft_densenet,DenseNet-121,auprc_macro,0.1422103669012427,0.0896337480137834,0.1793004292245169,9.999000099990002e-05,3,bootstrap phân tầng theo bệnh nhân và seed; kiểm định hoán vị ghép cặp,XBone-Net minus baseline
