fraction,global_deletion,global_insertion,local_deletion,local_insertion,text_deletion,text_insertion
0.0,0.5076485872268677,0.2590210735797882,0.5076485872268677,0.4363921880722046,0.5076485872268677,0.454639196395874
0.1,0.4640304148197174,0.16040153801441193,0.4914829134941101,0.4512083828449249,0.20128397643566132,0.48999249935150146
0.2,0.2703518271446228,0.38971394300460815,0.4817495048046112,0.4588969051837921,0.2025519460439682,0.49481239914894104
0.30000000000000004,0.295121431350708,0.5664641857147217,0.4732819199562073,0.465442419052124,0.2854459881782532,0.5014214515686035
0.4,0.14195667207241058,0.714333713054657,0.46517208218574524,0.4714299738407135,0.26698771119117737,0.49678051471710205
0.5,0.23297081887722015,0.6801431775093079,0.4598148465156555,0.4745151698589325,0.3059109151363373,0.4939323961734772
0.6000000000000001,0.28752559423446655,0.656109631061554,0.45268821716308594,0.4804803729057312,0.32896432280540466,0.4530998766422272
0.7000000000000001,0.3068726658821106,0.666591465473175,0.4477200508117676,0.4864823520183563,0.402569979429245,0.4423832297325134
0.8,0.3030196726322174,0.6428565382957458,0.4418397545814514,0.4930964410305023,0.44903305172920227,0.4018600285053253
0.9,0.38614287972450256,0.5716008543968201,0.4387979805469513,0.4985522925853729,0.45220646262168884,0.41168925166130066
1.0,0.2590210735797882,0.5076485872268677,0.4363921880722046,0.5076485872268677,0.454639196395874,0.5076485872268677
