number,key,year,title_plain,filename,pages,source_url
38,Shannon1948Information,1948,A Mathematical Theory of Communication,[1948] [38] A Mathematical Theory of Communication.pdf,55,https://people.math.harvard.edu/~ctm/home/text/others/shannon/entropy/entropy.pdf
39,Snell2017ProtoNet,2017,Prototypical Networks for Few-shot Learning,[2017] [39] Prototypical Networks for Few-shot Learning.pdf,11,https://papers.nips.cc/paper_files/paper/2017/file/cb8da6767461f2812ae4290eac7cbc42-Paper.pdf
40,Sundararajan2017IntegratedGradients,2017,Axiomatic Attribution for Deep Networks,[2017] [40] Axiomatic Attribution for Deep Networks.pdf,10,https://proceedings.mlr.press/v70/sundararajan17a/sundararajan17a.pdf
41,MED-PALM-M,2023,Towards Generalist Biomedical AI,[2023] [41] Towards Generalist Biomedical AI.pdf,37,https://arxiv.org/pdf/2307.14334
42,TieNet,2018,TieNet: Text-Image Embedding Network for Common Thorax Disease Classification and Reporting in Chest X-Rays,[2018] [42] TieNet Text-Image Embedding Network for Common Thorax Disease Classification and.pdf,10,https://openaccess.thecvf.com/content_cvpr_2018/papers/Wang_TieNet_Text-Image_Embedding_CVPR_2018_paper.pdf
43,MedCLIP,2022,MedCLIP: Contrastive Learning from Unpaired Medical Images and Text,[2022] [43] MedCLIP Contrastive Learning from Unpaired Medical Images and Text.pdf,12,https://aclanthology.org/2022.emnlp-main.256.pdf
44,CenterLoss,2016,A discriminative feature learning approach for deep face recognition,[2016] [44] A discriminative feature learning approach for deep face recognition.pdf,17,https://ydwen.github.io/papers/WenECCV16.pdf
45,Yao2025,2025,"A Radiograph Dataset for the Classification, Localization, and Segmentation of Primary Bone Tumors","[2025] [45] A Radiograph Dataset for the Classification, Localization, and Segmentation of.pdf",10,https://www.nature.com/articles/s41597-024-04311-y.pdf
46,PLIP,2025,Disease-Informed Adaptation of Vision-Language Models,[2025] [46] Disease-Informed Adaptation of Vision-Language Models.pdf,11,https://papers.miccai.org/miccai-2024/paper/0383_paper.pdf
47,BiomedCLIP,2024,A Multimodal Biomedical Foundation Model Trained from Fifteen Million Image–Text Pairs,[2024] [47] A Multimodal Biomedical Foundation Model Trained from Fifteen Million Image–Text.pdf,23,https://arxiv.org/pdf/2303.00915
48,ConVIRT,2021,Contrastive Learning of Medical Visual Representations from Paired Images and Text,[2021] [48] Contrastive Learning of Medical Visual Representations from Paired Images and.pdf,24,https://arxiv.org/pdf/2010.00747
49,IRENE,2023,A transformer-based representation-learning model with unified processing of multimodal input for clinical diagnostics,[2023] [49] A transformer-based representation-learning model with unified processing of multimodal input.pdf,17,https://www.nature.com/articles/s41551-023-01045-x.pdf
